Categoria,Ejercicio
Full Body,Saltos con peso en mochila
Full Body,Flexiones con desplante
Full Body,Marcha rápida en el sitio
Full Body,Saltos laterales con resistencia
Full Body,Golpes en saco improvisado
Full Body,Sentadillas con estocada
Full Body,Thrusters con mancuernas improvisadas
Full Body,Salto en estrella
Full Body,Plancha con movimientos circulares
Full Body,Gateo en reversa
